size_bytes,stride_elems,stride_bytes,throughput_MBps,seconds,reps,dtype
16384,1,8,26668.3,0.0575964,98304,double
16384,2,16,26701.9,0.057524,196608,double
16384,4,32,26357.6,0.0582755,393216,double
16384,8,64,26167.1,0.0489164,655360,double
16384,16,128,26820.8,0.057269,1572864,double
16384,32,256,27037.6,0.0568098,3145728,double
16384,64,512,27235.6,0.0563967,6291456,double
16384,128,1024,26399.1,0.0581837,12582912,double
16384,256,2048,24998.2,0.0512038,20971520,double
16384,512,4096,25583.4,0.0500325,41943040,double
16384,1024,8192,23695,0.0432159,67108864,double
23296,1,8,26800.8,0.0543268,65536,double
23296,2,16,26430.6,0.0550878,131072,double
23296,4,32,26526.2,0.0548892,262144,double
23296,8,64,26406.3,0.0551385,524288,double
23296,16,128,26291.1,0.05538,1048576,double
23296,32,256,26492.2,0.0549595,2097152,double
23296,64,512,26792.4,0.0549409,4194304,double
23296,128,1024,25353.3,0.0580595,8388608,double
23296,256,2048,26437.4,0.0580994,16777216,double
23296,512,4096,26117.5,0.0588112,33554432,double
23296,1024,8192,19914.3,0.0578478,50331648,double
23296,2048,16384,23744.8,0.0431253,67108864,double
32768,1,8,26905.7,0.0570883,49152,double
32768,2,16,27418.2,0.0560211,98304,double
32768,4,32,26809.8,0.0572924,196608,double
32768,8,64,26663.2,0.0576075,393216,double
32768,16,128,26433.8,0.0581075,786432,double
32768,32,256,26971.6,0.0569488,1572864,double
32768,64,512,27018.5,0.0568499,3145728,double
32768,128,1024,26832.4,0.0572442,6291456,double
32768,256,2048,26440.9,0.0580918,12582912,double
32768,512,4096,24887.9,0.0514305,20971520,double
32768,1024,8192,25698.5,0.05977,50331648,double
32768,2048,16384,23484.5,0.0436032,67108864,double
46464,1,8,22697.5,0.0639719,32768,double
46464,2,16,27200.1,0.0533821,65536,double
46464,4,32,27000.5,0.0537767,131072,double
46464,8,64,26728.7,0.0543236,262144,double
46464,16,128,26499.5,0.0547935,524288,double
46464,32,256,25961.8,0.0560824,1048576,double
46464,64,512,26374.2,0.0552054,2097152,double
46464,128,1024,26861.7,0.0547992,4194304,double
46464,256,2048,24955.2,0.0589857,8388608,double
46464,512,4096,25862.7,0.0593905,16777216,double
46464,1024,8192,25775.5,0.0595914,33554432,double
46464,2048,16384,19339.8,0.0595664,50331648,double
46464,4096,32768,23156.6,0.0442206,67108864,double
65536,1,8,27038.2,0.0568085,24576,double
65536,2,16,26793.2,0.057328,49152,double
65536,4,32,26841.7,0.0572243,98304,double
65536,8,64,26540.1,0.0578746,196608,double
65536,16,128,26458,0.0580543,393216,double
65536,32,256,26069.1,0.0589203,786432,double
65536,64,512,26809.5,0.0572931,1572864,double
65536,128,1024,26806,0.0573007,3145728,double
65536,256,2048,26365.4,0.0582581,6291456,double
65536,512,4096,26384.7,0.0582156,12582912,double
65536,1024,8192,25013.6,0.0511723,20971520,double
65536,2048,16384,25421.1,0.0604222,50331648,double
65536,4096,32768,23572.3,0.0434407,67108864,double
92800,1,8,26843.9,0.054016,16384,double
92800,2,16,26659.8,0.0543891,32768,double
92800,4,32,26358.3,0.0550112,65536,double
92800,8,64,26576,0.0545605,131072,double
92800,16,128,26597.8,0.0545158,262144,double
92800,32,256,26170.2,0.0554829,524288,double
92800,64,512,26244.7,0.0554778,1048576,double
92800,128,1024,26195.3,0.0555826,2097152,double
92800,256,2048,26584.4,0.0553708,4194304,double
92800,512,4096,24954.2,0.058988,8388608,double
92800,1024,8192,26002.4,0.0590715,16777216,double
92800,2048,16384,25736.3,0.0596823,33554432,double
92800,4096,32768,20055.7,0.05744,50331648,double
92800,8192,65536,23549.7,0.0434826,67108864,double
98304,1,8,26940.4,0.0570148,16384,double
98304,2,16,26885,0.0571323,32768,double
98304,4,32,26959.9,0.0569735,65536,double
98304,8,64,26690.8,0.057548,131072,double
98304,16,128,26650.2,0.0576356,262144,double
98304,32,256,26287.3,0.0584312,524288,double
98304,64,512,26139.1,0.0587625,1048576,double
98304,128,1024,25855.6,0.059407,2097152,double
98304,256,2048,26414.2,0.0581505,4194304,double
98304,512,4096,26841.8,0.0572242,8388608,double
98304,1024,8192,26052.4,0.0589582,16777216,double
98304,2048,16384,25803.2,0.0595276,33554432,double
98304,4096,32768,19835,0.0580791,50331648,double
98304,8192,65536,23667.2,0.0432665,67108864,double
131072,1,8,26603.1,0.0577375,12288,double
131072,2,16,27438.2,0.0559803,24576,double
131072,4,32,26825.4,0.0572591,49152,double
131072,8,64,26627.1,0.0576856,98304,double
131072,16,128,26173.1,0.0586862,196608,double
131072,32,256,24352.9,0.0630726,393216,double
131072,64,512,26044.4,0.0491468,655360,double
