size_bytes,stride_elems,stride_bytes,throughput_MBps,seconds,reps,dtype
8192,1,4,6171.61,0.0725904,57344,float
8192,2,8,6711.11,0.0953642,163840,float
8192,4,16,6902.46,0.0927205,327680,float
8192,8,32,7041.78,0.0908861,655360,float
8192,16,64,7135.55,0.0896917,1310720,float
8192,32,128,7085.95,0.0903195,2621440,float
8192,64,256,7115.55,0.0899439,5242880,float
16384,1,4,6632.61,0.0964929,40960,float
16384,2,8,6708.91,0.0953955,81920,float
16384,4,16,6792.83,0.094217,163840,float
16384,8,32,6870.91,0.0931463,327680,float
16384,16,64,6821.24,0.0938246,655360,float
16384,32,128,7098.17,0.090164,1310720,float
16384,64,256,7112.72,0.0899797,2621440,float
32768,1,4,6652.84,0.0961995,20480,float
32768,2,8,6634.39,0.096467,40960,float
32768,4,16,6680.87,0.095796,81920,float
32768,8,32,6711.44,0.0953596,163840,float
32768,16,64,6875.69,0.0930816,327680,float
32768,32,128,6987.95,0.0915862,655360,float
32768,64,256,7115.08,0.0899498,1310720,float
65536,1,4,6654.68,0.0961729,10240,float
65536,2,8,6641.3,0.0963667,20480,float
65536,4,16,6710.21,0.095377,40960,float
65536,8,32,6684.34,0.0957462,81920,float
65536,16,64,6796.98,0.0941595,163840,float
65536,32,128,6819.93,0.0938426,327680,float
65536,64,256,6843.5,0.0935193,655360,float
131072,1,4,6374.79,0.100395,5120,float
131072,2,8,6268.59,0.0816771,8192,float
131072,4,16,6457.1,0.0792926,16384,float
131072,8,32,6725.44,0.0761288,32768,float
131072,16,64,6635.85,0.0675121,57344,float
131072,32,128,6227.99,0.0822095,131072,float
131072,64,256,6743.31,0.0759271,262144,float
262144,1,4,6683.1,0.0957639,2560,float
262144,2,8,6655.42,0.0961622,5120,float
262144,4,16,6347.79,0.080658,8192,float
262144,8,32,6695.95,0.0955802,20480,float
262144,16,64,6598.81,0.0969872,40960,float
262144,32,128,6728.66,0.0951155,81920,float
262144,64,256,6843.19,0.0935236,163840,float
524288,1,4,6697.45,0.0955588,1280,float
524288,2,8,6670.65,0.0959426,2560,float
524288,4,16,6686.09,0.0957212,5120,float
524288,8,32,6686.83,0.0957106,10240,float
524288,16,64,6726.87,0.0951408,20480,float
524288,32,128,6740.66,0.0949462,40960,float
524288,64,256,6703.97,0.0954658,81920,float
1048576,1,4,6650.17,0.0962382,640,float
1048576,2,8,6591.33,0.0970972,1280,float
1048576,4,16,6683.69,0.0957554,2560,float
1048576,8,32,6681.94,0.0957806,5120,float
1048576,16,64,6691.03,0.0956505,10240,float
1048576,32,128,6732.84,0.0950565,20480,float
1048576,64,256,6734.63,0.0950312,40960,float
2097152,1,4,6622.35,0.0966424,320,float
2097152,2,8,6655.59,0.0961598,640,float
2097152,4,16,6689.41,0.0765388,1024,float
2097152,8,32,6671.22,0.0959344,2560,float
2097152,16,64,6665.08,0.0960228,5120,float
2097152,32,128,6725.72,0.0951571,10240,float
2097152,64,256,5506.61,0.0813567,14336,float
4194304,1,4,6663.94,0.0960392,160,float
4194304,2,8,6704.83,0.0954536,320,float
4194304,4,16,6697.5,0.095558,640,float
4194304,8,32,6722.95,0.076157,1024,float
4194304,16,64,6691.21,0.0956479,2560,float
4194304,32,128,6730.01,0.0950965,5120,float
4194304,64,256,6595.74,0.0970324,10240,float
8388608,1,4,6715.93,0.0952958,80,float
8388608,2,8,6693.34,0.0956174,160,float
8388608,4,16,6691.05,0.0956502,320,float
8388608,8,32,6603.66,0.096916,640,float
8388608,16,64,6654.04,0.0961822,1280,float
8388608,32,128,6679,0.0958228,2560,float
8388608,64,256,6705.63,0.0954421,5120,float
16777216,1,4,6688.87,0.0956813,40,float
16777216,2,8,6630.43,0.0965247,80,float
16777216,4,16,6640.31,0.096381,160,float
16777216,8,32,6599.55,0.0969763,320,float
16777216,16,64,5743.17,0.0891494,512,float
16777216,32,128,5609.44,0.0912747,1024,float
16777216,64,256,5455.44,0.0821198,1792,float
33554432,1,4,6632.88,0.096489,20,float
33554432,2,8,6680.78,0.0957973,40,float
33554432,4,16,6611.46,0.0968017,80,float
33554432,8,32,6657.96,0.0961255,160,float
33554432,16,64,6420.08,0.0996873,320,float
33554432,32,128,2464.39,0.0908948,224,float
33554432,64,256,2797.55,0.0915086,512,float
67108864,1,4,6709.74,0.0953838,10,float
67108864,2,8,6698,0.095551,20,float
67108864,4,16,6678.23,0.0958337,40,float
67108864,8,32,6538.6,0.0978802,80,float
67108864,16,64,5899.13,0.0867925,128,float
67108864,32,128,1681.09,0.0951766,80,float
67108864,64,256,1663.97,0.0961556,160,float
134217728,1,4,6673.64,0.0958997,5,float
134217728,2,8,6644.45,0.096321,10,float
134217728,4,16,6686.14,0.0957204,20,float
134217728,8,32,6590.46,0.09711,40,float
134217728,16,64,5611.41,0.0912427,64,float
134217728,32,128,1600.36,0.0799819,32,float
134217728,64,256,1376.08,0.0813905,56,float
