size_bytes,stride_elems,stride_bytes,throughput_MBps,seconds,reps,device
8192,1,4,75246.2,0.0170108,163840,"Apple M4 Pro"
8192,2,8,56011,0.0548464,786432,"Apple M4 Pro"
8192,4,16,27098.4,0.0566824,786432,"Apple M4 Pro"
8192,8,32,13495.6,0.0569076,786432,"Apple M4 Pro"
8192,16,64,6584.24,0.0583211,786432,"Apple M4 Pro"
8192,32,128,3292.15,0.0583206,786432,"Apple M4 Pro"
8192,64,256,1632.13,0.0588187,786432,"Apple M4 Pro"
16384,1,4,221910,0.0553738,786432,"Apple M4 Pro"
16384,2,8,112055,0.0548302,786432,"Apple M4 Pro"
16384,4,16,54092.1,0.056792,786432,"Apple M4 Pro"
16384,8,32,27031.3,0.056823,786432,"Apple M4 Pro"
16384,16,64,13168.9,0.0583194,786432,"Apple M4 Pro"
16384,32,128,6584.53,0.0583185,786432,"Apple M4 Pro"
16384,64,256,3264.28,0.0588185,786432,"Apple M4 Pro"
32768,1,4,435300,0.0564577,786432,"Apple M4 Pro"
32768,2,8,221496,0.0554774,786432,"Apple M4 Pro"
32768,4,16,108004,0.0568869,786432,"Apple M4 Pro"
32768,8,32,53348,0.0575841,786432,"Apple M4 Pro"
32768,16,64,26336.7,0.0583217,786432,"Apple M4 Pro"
32768,32,128,13168.9,0.0583192,786432,"Apple M4 Pro"
32768,64,256,6519.49,0.0589003,786432,"Apple M4 Pro"
65536,1,4,493633,0.0580836,458752,"Apple M4 Pro"
65536,2,8,439956,0.0558602,786432,"Apple M4 Pro"
65536,4,16,215469,0.0570291,786432,"Apple M4 Pro"
65536,8,32,107027,0.0574059,786432,"Apple M4 Pro"
65536,16,64,52346.6,0.0586858,786432,"Apple M4 Pro"
65536,32,128,26336.9,0.0583213,786432,"Apple M4 Pro"
65536,64,256,12947.5,0.0593164,786432,"Apple M4 Pro"
131072,1,4,540107,0.0530858,229376,"Apple M4 Pro"
131072,2,8,495347,0.0578827,458752,"Apple M4 Pro"
131072,4,16,427522,0.0574847,786432,"Apple M4 Pro"
131072,8,32,213388,0.0575854,786432,"Apple M4 Pro"
131072,16,64,105346,0.0583223,786432,"Apple M4 Pro"
131072,32,128,52669.4,0.0583261,786432,"Apple M4 Pro"
131072,64,256,26114.4,0.0588181,786432,"Apple M4 Pro"
262144,1,4,570484,0.057439,131072,"Apple M4 Pro"
262144,2,8,551432,0.0519955,229376,"Apple M4 Pro"
262144,4,16,498991,0.0574599,458752,"Apple M4 Pro"
262144,8,32,418312,0.0587504,786432,"Apple M4 Pro"
262144,16,64,209112,0.048969,655360,"Apple M4 Pro"
262144,32,128,105246,0.0583774,786432,"Apple M4 Pro"
262144,64,256,52226.6,0.0588206,786432,"Apple M4 Pro"
524288,1,4,723520,0.0566121,81920,"Apple M4 Pro"
524288,2,8,556395,0.0588934,131072,"Apple M4 Pro"
524288,4,16,534352,0.0536575,229376,"Apple M4 Pro"
524288,8,32,517813,0.0553714,458752,"Apple M4 Pro"
524288,16,64,365942,0.0503686,589824,"Apple M4 Pro"
524288,32,128,209560,0.0586373,786432,"Apple M4 Pro"
524288,64,256,104455,0.0588195,786432,"Apple M4 Pro"
1048576,1,4,818563,0.0600467,49152,"Apple M4 Pro"
1048576,2,8,753923,0.0543291,81920,"Apple M4 Pro"
1048576,4,16,586008,0.0559173,131072,"Apple M4 Pro"
1048576,8,32,581069,0.0563926,262144,"Apple M4 Pro"
1048576,16,64,384367,0.0532824,327680,"Apple M4 Pro"
1048576,32,128,366524,0.0502886,589824,"Apple M4 Pro"
1048576,64,256,207625,0.0493198,655360,"Apple M4 Pro"
2097152,1,4,897275,0.0547792,24576,"Apple M4 Pro"
2097152,2,8,829890,0.0592271,49152,"Apple M4 Pro"
2097152,4,16,735827,0.0556653,81920,"Apple M4 Pro"
2097152,8,32,595567,0.0550199,131072,"Apple M4 Pro"
2097152,16,64,375690,0.054513,163840,"Apple M4 Pro"
2097152,32,128,384699,0.0532364,327680,"Apple M4 Pro"
2097152,64,256,361347,0.0510091,589824,"Apple M4 Pro"
4194304,1,4,933035,0.0526797,12288,"Apple M4 Pro"
4194304,2,8,713527,0.0516645,18432,"Apple M4 Pro"
4194304,4,16,379658,0.0539433,20480,"Apple M4 Pro"
4194304,8,32,623869,0.0590894,73728,"Apple M4 Pro"
4194304,16,64,358567,0.0571162,81920,"Apple M4 Pro"
4194304,32,128,365937,0.0559659,163840,"Apple M4 Pro"
